 ,Area,Mean,Min,Max,X,Y
1,0,123,123,123,27.000,11.000
2,0,159,159,159,123.500,22.500
3,0,164,164,164,59.500,65.500
4,0,164,164,164,36.500,112.500
5,0,163,163,163,109.500,80.500
6,0,183,183,183,119.500,135.500
7,0,169,169,169,67.500,152.500
8,0,170,170,170,41.500,215.500
9,0,147,147,147,119.500,198.500
10,0,171,171,171,5.500,257.500
11,0,187,187,187,209.500,175.500
12,0,159,159,159,240.500,105.500
13,0,150,150,150,269.500,78.500
14,0,151,151,151,319.500,28.500
15,0,167,167,167,403.500,28.500
16,0,145,145,145,321.500,83.500
17,0,134,134,134,327.500,102.500
18,0,170,170,170,394.500,116.500
19,0,165,165,165,460.500,78.500
20,0,162,162,162,495.500,182.500
21,0,185,185,185,422.500,212.500
22,0,163,163,163,371.500,208.500
23,0,161,161,161,316.500,176.500
24,0,144,144,144,279.500,160.500
25,0,161,161,161,281.500,213.500
26,0,129,129,129,309.500,245.500
27,0,157,157,157,337.500,280.500
28,0,162,162,162,383.500,278.500
29,0,156,156,156,408.500,292.500
30,0,162,162,162,424.500,350.500
31,0,159,159,159,399.500,354.500
32,0,154,154,154,319.500,366.500
33,0,163,163,163,297.500,365.500
34,0,132,132,132,261.500,275.500
35,0,158,158,158,228.500,286.500
36,0,193,193,193,204.500,361.500
37,0,179,179,179,130.500,343.500
38,0,174,174,174,131.500,289.500
39,0,164,164,164,172.500,233.500
40,0,120,120,120,360.500,7.500
41,0,96,96,96,351.500,31.500
42,0,130,130,130,131.500,6.500
