 ,Area,Mean,Min,Max,X,Y
1,0,160,160,160,27.000,25.000
2,0,151,151,151,91.500,52.500
3,0,169,169,169,135.500,22.500
4,0,164,164,164,202.500,7.500
5,0,166,166,166,253.500,25.500
6,0,164,164,164,222.500,76.500
7,0,149,149,149,99.500,129.500
8,0,132,132,132,55.500,108.500
9,0,170,170,170,139.500,158.500
10,0,184,184,184,205.500,153.500
11,0,174,174,174,268.500,98.500
12,0,152,152,152,57.500,188.500
13,0,128,128,128,21.500,221.500
14,0,153,153,153,84.500,312.500
15,0,173,173,173,84.500,356.500
16,0,167,167,167,11.500,329.500
17,0,182,182,182,154.500,399.500
18,0,177,177,177,227.500,349.500
19,0,175,175,175,257.500,324.500
20,0,179,179,179,288.500,268.500
21,0,170,170,170,347.500,260.500
22,0,195,195,195,396.500,212.500
23,0,182,182,182,422.500,133.500
24,0,184,184,184,461.500,88.500
25,0,180,180,180,513.500,81.500
26,0,162,162,162,554.500,168.500
27,0,148,148,148,622.500,151.500
28,0,173,173,173,430.500,326.500
29,0,182,182,182,342.500,320.500
30,0,193,193,193,277.500,367.500
31,0,144,144,144,298.500,421.500
32,0,168,168,168,328.500,419.500
33,0,156,156,156,362.500,427.500
34,0,143,143,143,416.500,457.500
35,0,135,135,135,451.500,425.500
36,0,158,158,158,426.500,394.500
37,0,128,128,128,481.500,373.500
38,0,141,141,141,493.500,431.500
39,0,128,128,128,533.500,416.500
40,0,159,159,159,542.500,370.500
41,0,168,168,168,600.500,351.500
42,0,157,157,157,633.500,330.500
43,0,147,147,147,652.500,283.500
44,0,151,151,151,606.500,403.500
45,0,142,142,142,35.500,482.500
46,0,136,136,136,458.500,481.500
47,0,96,96,96,267.500,483.500
