 ,Area,Mean,Min,Max,X,Y
1,0,78,78,78,38.000,19.000
2,0,79,79,79,72.500,44.500
3,0,79,79,79,111.500,29.500
4,0,79,79,79,51.500,78.500
5,0,77,77,77,11.500,86.500
6,0,78,78,78,56.500,106.500
7,0,79,79,79,141.500,58.500
8,0,82,82,82,152.500,29.500
9,0,84,84,84,192.500,21.500
10,0,84,84,84,252.500,18.500
11,0,81,81,81,208.500,63.500
12,0,79,79,79,190.500,98.500
13,0,79,79,79,142.500,122.500
14,0,80,80,80,124.500,95.500
15,0,79,79,79,93.500,130.500
16,0,79,79,79,96.500,181.500
17,0,81,81,81,75.500,172.500
18,0,81,81,81,38.500,189.500
19,0,80,80,80,38.500,173.500
20,0,81,81,81,8.500,183.500
21,0,81,81,81,9.500,208.500
22,0,81,81,81,19.500,157.500
23,0,80,80,80,144.500,180.500
24,0,80,80,80,167.500,147.500
25,0,78,78,78,214.500,137.500
26,0,79,79,79,192.500,171.500
27,0,84,84,84,255.500,117.500
28,0,80,80,80,279.500,107.500
29,0,80,80,80,248.500,180.500
30,0,82,82,82,258.500,72.500
31,0,83,83,83,298.500,30.500
32,0,81,81,81,339.500,40.500
33,0,81,81,81,351.500,4.500
34,0,77,77,77,352.500,89.500
35,0,81,81,81,328.500,139.500
36,0,81,81,81,291.500,181.500
37,0,84,84,84,324.500,199.500
38,0,81,81,81,351.500,232.500
39,0,82,82,82,385.500,233.500
40,0,82,82,82,444.500,204.500
41,0,82,82,82,440.500,176.500
42,0,81,81,81,389.500,166.500
43,0,84,84,84,398.500,125.500
44,0,81,81,81,419.500,93.500
45,0,84,84,84,393.500,62.500
46,0,84,84,84,425.500,12.500
47,0,83,83,83,455.500,13.500
48,0,84,84,84,465.500,31.500
49,0,81,81,81,463.500,76.500
50,0,81,81,81,495.500,63.500
51,0,82,82,82,502.500,110.500
52,0,82,82,82,510.500,145.500
53,0,77,77,77,458.500,133.500
54,0,81,81,81,547.500,216.500
55,0,81,81,81,582.500,170.500
56,0,80,80,80,537.500,155.500
57,0,85,85,85,573.500,121.500
58,0,80,80,80,547.500,66.500
59,0,82,82,82,553.500,23.500
60,0,78,78,78,595.500,14.500
61,0,84,84,84,616.500,62.500
62,0,76,76,76,624.500,16.500
63,0,79,79,79,626.500,101.500
64,0,84,84,84,619.500,152.500
65,0,85,85,85,652.500,140.500
66,0,80,80,80,674.500,100.500
67,0,79,79,79,699.500,34.500
68,0,80,80,80,738.500,40.500
69,0,81,81,81,710.500,87.500
70,0,79,79,79,779.500,66.500
71,0,82,82,82,707.500,132.500
72,0,85,85,85,661.500,166.500
73,0,84,84,84,647.500,177.500
74,0,83,83,83,659.500,193.500
75,0,81,81,81,668.500,209.500
